,corp_tax_80,corp_tax_81,corp_tax_82,corp_tax_83,corp_tax_84,corp_tax_85,corp_tax_86,corp_tax_87,corp_tax_88,corp_tax_89,corp_tax_90,corp_tax_91,corp_tax_92,corp_tax_93,corp_tax_94,corp_tax_95,corp_tax_96,corp_tax_97,corp_tax_98,corp_tax_99,corp_tax_00,corp_tax_01,corp_tax_02,corp_tax_03,corp_tax_04,corp_tax_05,corp_tax_06,corp_tax_07,corp_tax_08,corp_tax_09,corp_tax_10,corp_tax_11,corp_tax_12,corp_tax_13,corp_tax_14,corp_tax_15,per_tax_80,per_tax_81,per_tax_82,per_tax_83,per_tax_84,per_tax_85,per_tax_86,per_tax_87,per_tax_88,per_tax_89,per_tax_90,per_tax_91,per_tax_92,per_tax_93,per_tax_94,per_tax_95,per_tax_96,per_tax_97,per_tax_98,per_tax_99,per_tax_00,per_tax_01,per_tax_02,per_tax_03,per_tax_04,per_tax_05,per_tax_06,per_tax_07,per_tax_08,per_tax_09,per_tax_10,per_tax_11,per_tax_12,per_tax_13,per_tax_14,per_tax_15,cons_tax_80,cons_tax_81,cons_tax_82,cons_tax_83,cons_tax_84,cons_tax_85,cons_tax_86,cons_tax_87,cons_tax_88,cons_tax_89,cons_tax_90,cons_tax_91,cons_tax_92,cons_tax_93,cons_tax_94,cons_tax_95,cons_tax_96,cons_tax_97,cons_tax_98,cons_tax_99,cons_tax_00,cons_tax_01,cons_tax_02,cons_tax_03,cons_tax_04,cons_tax_05,cons_tax_06,cons_tax_07,cons_tax_08,cons_tax_09,cons_tax_10,cons_tax_11,cons_tax_12,cons_tax_13,cons_tax_14,cons_tax_15,tariff_88,tariff_89,tariff_90,tariff_91,tariff_92,tariff_93,tariff_94,tariff_95,tariff_96,tariff_97,tariff_98,tariff_99,tariff_00,tariff_01,tariff_02,tariff_03,tariff_04,tariff_05,tariff_06,tariff_07,tariff_08,tariff_09,tariff_10,tariff_11,tariff_12,tariff_13,tariff_14,tariff_15,gdp_80,gdp_81,gdp_82,gdp_83,gdp_84,gdp_85,gdp_86,gdp_87,gdp_88,gdp_89,gdp_90,gdp_91,gdp_92,gdp_93,gdp_94,gdp_95,gdp_96,gdp_97,gdp_98,gdp_99,gdp_00,gdp_01,gdp_02,gdp_03,gdp_04,gdp_05,gdp_06,gdp_07,gdp_08,gdp_09,gdp_10,gdp_11,gdp_12,gdp_13,gdp_14,gdp_15,enroll_80,enroll_81,enroll_82,enroll_83,enroll_84,enroll_85,enroll_86,enroll_87,enroll_88,enroll_89,enroll_90,enroll_91,enroll_92,enroll_93,enroll_94,enroll_95,enroll_96,enroll_97,enroll_98,enroll_99,enroll_00,enroll_01,enroll_02,enroll_03,enroll_04,enroll_05,enroll_06,enroll_07,enroll_08,enroll_09,enroll_10,enroll_11,enroll_12,enroll_13,enroll_14,enroll_15,icrg_80,icrg_81,icrg_82,icrg_83,icrg_84,icrg_85,icrg_86,icrg_87,icrg_88,icrg_89,icrg_90,icrg_91,icrg_92,icrg_93,icrg_94,icrg_95,icrg_96,icrg_97,icrg_98,icrg_99,icrg_00,icrg_01,icrg_02,icrg_03,icrg_04,icrg_05,icrg_06,icrg_07,icrg_08,icrg_09,icrg_10,icrg_11,icrg_12,icrg_13,icrg_14,icrg_15,inflation_80,inflation_81,inflation_82,inflation_83,inflation_84,inflation_85,inflation_86,inflation_87,inflation_88,inflation_89,inflation_90,inflation_91,inflation_92,inflation_93,inflation_94,inflation_95,inflation_96,inflation_97,inflation_98,inflation_99,inflation_00,inflation_01,inflation_02,inflation_03,inflation_04,inflation_05,inflation_06,inflation_07,inflation_08,inflation_09,inflation_10,inflation_11,inflation_12,inflation_13,inflation_14,inflation_15,pop_80,pop_81,pop_82,pop_83,pop_84,pop_85,pop_86,pop_87,pop_88,pop_89,pop_90,pop_91,pop_92,pop_93,pop_94,pop_95,pop_96,pop_97,pop_98,pop_99,pop_00,pop_01,pop_02,pop_03,pop_04,pop_05,pop_06,pop_07,pop_08,pop_09,pop_10,pop_11,pop_12,pop_13,pop_14,pop_15,trade_open,year_open,continent
Canada,46.00,46.000,46.000,46.000,46.000,46.000,46.000,45.500,41.500,38.000,38.000,38.000,38.000,38.000,38.000,38.000,38.000,38.000,38.000,38.000,38.000,38.000,38.000,35.870,22.120,22.120,22.120,22.120,19.500,19.000,18.000,16.500,15.000,15.000,15.000,15.000,62.780,62.780,50.320,34.000,34.000,34.000,34.000,34.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,29.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,6.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,7.020,7.020,7.020,7.020,3.590,3.590,3.590,6.690,5.430,1.990,1.440,1.010,1.310,1.600,1.490,2.460,1.510,1.460,1.450,1.540,1.540,1.700,1.460,1.380,1.400,1.450,1.430,1.650,2.156,3.478,-3.188,2.601,5.909,4.738,2.144,4.072,4.410,2.317,0.164,-2.086,0.901,2.661,4.495,2.692,1.619,4.280,3.898,5.161,5.179,1.789,3.017,1.801,3.087,3.203,2.635,2.073,1.008,-2.928,3.089,3.147,1.762,2.330,2.868,0.690,99.714,99.474,105.225,104.640,104.070,103.787,104.025,103.957,104.006,104.268,104.282,104.442,103.674,102.697,101.900,101.810,102.813,99.251,99.822,100.257,100.789,101.009,101.230,98.050,98.477,97.365,98.881,98.966,98.013,99.009,98.642,98.189,99.518,100.341,101.537,102.485,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,5.833,4.500,4.500,4.167,5.042,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,10.079,10.804,8.823,5.760,3.544,3.325,3.086,4.785,4.564,4.720,3.414,3.052,1.484,1.297,1.469,2.246,1.737,1.141,-0.196,1.906,4.345,1.640,1.237,3.258,3.279,3.145,2.602,3.309,3.998,-2.316,2.868,3.236,1.205,1.729,1.958,-0.902,1.290,1.233,1.190,0.988,0.944,0.914,0.994,1.318,1.297,1.794,1.508,1.243,1.184,1.099,1.095,1.035,1.045,0.994,0.830,0.813,0.931,1.086,1.087,0.901,0.933,0.944,1.010,0.971,1.083,1.142,1.112,0.979,1.086,1.057,1.005,0.746,1.000,1952,America
France,50.00,50.000,50.000,50.000,50.000,50.000,50.000,45.000,42.000,39.000,37.000,34.000,34.000,33.300,33.300,33.300,33.300,33.300,33.300,33.300,33.300,33.300,33.300,35.430,35.430,34.930,34.430,34.430,34.430,34.430,34.430,36.100,36.100,38.000,38.000,38.000,60.000,60.000,60.000,60.000,70.000,65.000,61.350,53.100,51.790,51.790,51.790,51.790,56.500,56.500,56.800,56.800,56.800,56.800,56.800,56.800,48.100,48.100,48.100,48.100,48.100,48.100,40.000,40.000,40.000,40.000,41.000,41.000,45.000,45.000,45.000,22.500,20.000,20.000,20.000,20.000,20.000,18.600,18.600,18.600,18.600,18.600,18.600,18.600,18.600,18.600,18.600,20.600,20.600,20.600,20.600,20.600,20.600,20.600,20.600,20.600,20.600,19.600,19.600,19.600,19.600,19.600,19.600,19.600,19.600,19.600,20.000,20.000,3.590,3.770,4.800,4.500,4.180,3.790,4.160,6.280,4.400,3.660,3.470,3.480,2.270,3.270,2.220,2.310,2.100,2.260,2.150,2.060,1.560,1.700,1.890,1.430,1.310,1.380,1.840,1.890,1.579,1.069,2.505,1.241,1.514,1.623,2.337,2.562,4.743,4.344,2.924,1.048,1.599,-0.629,2.358,2.107,1.413,2.336,3.589,3.421,3.924,1.984,1.136,0.823,2.830,1.663,2.449,2.425,0.255,-2.873,1.949,2.193,0.313,0.576,0.956,1.113,111.889,111.241,109.937,107.740,107.005,106.821,109.885,112.368,114.316,114.366,112.023,109.378,106.852,104.659,104.886,105.128,105.716,104.748,104.869,104.905,100.428,100.382,100.249,99.975,99.811,104.636,104.279,103.860,103.622,103.041,102.762,102.691,102.523,102.276,102.101,101.974,6.000,6.000,6.000,6.000,6.000,6.000,5.833,5.000,5.000,5.000,5.000,5.667,6.000,6.000,5.667,4.000,4.000,4.000,4.000,3.250,3.000,3.000,3.000,3.000,3.000,3.500,3.500,4.375,5.000,5.000,4.792,4.500,4.500,4.125,4.042,4.500,11.687,11.692,12.095,9.650,7.068,5.454,5.055,2.456,3.193,3.285,2.657,2.547,1.967,1.624,0.925,1.125,1.358,0.878,0.950,0.204,1.553,2.008,2.067,1.859,1.623,1.936,2.155,2.557,2.367,0.067,1.070,0.948,1.162,0.778,0.577,1.138,0.444,0.486,0.519,0.546,0.559,0.561,0.566,0.571,0.565,0.542,0.509,0.554,0.497,0.433,0.372,0.361,0.354,0.354,0.369,0.514,0.685,0.728,0.727,0.709,0.736,0.754,0.697,0.619,0.559,0.514,0.494,0.484,0.484,0.515,0.480,0.417,1.000,1959,Europe
Germany,56.00,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,50.000,50.000,50.000,50.000,45.000,45.000,30.000,30.000,30.000,30.000,45.000,25.000,25.000,27.960,26.380,26.380,26.380,26.380,15.830,15.830,15.830,15.830,15.830,15.830,15.830,15.830,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,56.000,53.000,53.000,53.000,53.000,53.000,53.000,53.000,53.000,53.000,53.000,48.500,48.500,48.500,48.500,45.000,42.000,42.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,11.000,11.000,11.000,11.000,11.000,14.000,14.000,14.000,14.000,14.000,14.000,14.000,14.000,14.000,14.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,16.000,16.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,3.590,3.770,4.800,4.500,4.180,3.790,4.160,6.280,4.400,3.660,3.470,3.480,2.270,3.270,2.220,2.310,2.100,2.260,2.150,2.060,1.560,1.700,1.890,1.430,1.310,1.380,1.840,1.890,1.409,0.529,-0.395,1.572,2.823,2.328,2.287,1.402,3.707,3.897,5.255,5.108,1.924,-0.956,2.457,1.738,0.818,1.849,1.980,1.987,2.962,1.695,0.000,-0.710,1.170,0.707,3.700,3.261,1.082,-5.619,4.080,3.660,0.492,0.490,2.178,1.739,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,101.417,98.888,100.553,100.141,101.087,102.291,103.778,105.215,105.034,105.118,104.197,102.412,101.985,102.784,103.016,104.128,104.708,103.952,103.330,102.936,102.418,102.143,101.702,101.457,102.389,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.667,6.000,6.000,6.000,5.583,5.000,5.000,4.917,4.000,4.000,4.000,4.208,4.500,4.542,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.451,4.175,4.581,2.808,1.989,2.125,3.000,1.280,1.690,2.879,3.397,3.085,5.287,4.136,2.164,1.976,0.622,0.262,0.608,0.318,-0.450,1.277,1.351,1.207,1.094,0.621,0.304,1.697,0.839,1.757,0.758,1.070,1.540,1.965,1.759,1.979,0.207,0.152,-0.095,-0.262,-0.346,-0.223,0.046,0.154,0.391,0.773,0.862,0.729,0.760,0.657,0.347,0.294,0.289,0.146,0.015,0.065,0.135,0.168,0.168,0.055,-0.022,-0.057,-0.113,-0.134,-0.190,-0.253,-0.153,-1.854,0.188,0.273,0.417,0.866,1.000,1959,Europe
Italy,25.00,25.000,25.000,25.000,36.000,36.000,36.000,36.000,36.000,36.000,36.000,36.000,36.000,36.000,36.000,36.000,37.000,37.000,37.000,37.000,37.000,36.000,36.000,34.000,33.000,33.000,33.000,33.000,27.500,27.500,27.500,27.500,27.500,27.500,27.500,27.500,72.000,72.000,72.000,72.000,65.000,65.000,62.000,62.000,62.000,50.000,50.000,50.000,51.000,51.000,51.000,51.000,51.000,51.000,46.000,46.000,45.000,45.000,45.000,45.000,45.000,43.000,43.000,43.000,43.000,43.000,43.000,43.000,43.000,43.000,43.000,43.000,12.000,12.000,12.000,12.000,12.000,18.000,18.000,18.000,18.000,18.000,18.000,18.000,18.000,18.000,18.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,19.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,21.000,21.000,22.000,22.000,3.590,3.770,4.800,4.500,4.180,3.790,4.160,6.280,4.400,3.660,3.470,3.480,2.270,3.270,2.220,2.310,2.100,2.260,2.150,2.060,1.560,1.700,1.890,1.430,1.310,1.380,1.840,1.890,3.430,0.844,0.414,1.169,3.226,2.798,2.860,3.192,4.194,3.388,1.986,1.538,0.834,-0.853,2.151,2.887,1.286,1.835,1.616,1.560,3.710,1.772,0.249,0.151,1.582,0.950,2.007,1.474,-1.050,-5.482,1.687,0.577,-2.819,-1.728,0.114,0.924,102.154,101.764,101.508,100.939,100.700,100.616,99.656,98.738,98.474,98.113,98.233,98.344,99.263,99.967,98.386,97.998,99.046,99.765,100.866,103.625,102.701,102.070,101.382,101.052,100.862,101.301,102.333,103.349,103.409,102.488,101.925,101.502,100.736,101.852,101.595,101.179,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,3.167,3.000,3.000,3.583,4.000,3.667,3.000,3.000,2.917,2.500,2.500,2.458,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,2.500,20.816,18.787,17.541,15.097,10.762,9.175,7.488,6.009,6.650,6.197,8.914,7.581,4.368,3.886,3.542,4.925,4.554,2.602,2.530,1.621,1.965,2.986,3.354,3.181,2.524,1.888,1.899,2.435,2.481,1.958,0.319,1.468,1.380,1.212,0.959,0.933,0.206,0.120,0.074,0.036,0.022,0.029,0.005,0.010,0.048,0.075,0.084,0.069,0.068,0.061,0.020,0.002,0.028,0.053,0.029,0.017,0.045,0.056,0.149,0.445,0.647,0.491,0.301,0.505,0.662,0.456,0.308,0.172,0.270,1.159,0.918,-0.096,1.000,1959,Europe
Japan,40.00,42.000,42.000,42.000,43.300,43.300,43.300,42.000,42.000,40.000,37.500,37.500,37.500,37.500,37.500,37.500,37.500,37.500,34.500,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,28.050,28.050,23.900,75.000,75.000,75.000,75.000,70.000,70.000,70.000,60.000,60.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,37.000,37.000,37.000,37.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.000,50.840,50.840,50.840,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,8.000,4.120,4.070,3.610,4.040,4.240,4.360,4.300,5.220,5.590,4.330,4.170,4.420,4.490,5.750,5.520,5.230,4.000,3.580,2.820,2.740,2.490,2.910,2.200,2.370,2.270,1.180,2.290,2.300,2.818,4.209,3.312,3.523,4.502,5.233,3.327,4.731,6.785,4.858,4.893,3.417,0.848,-0.518,0.993,2.742,3.100,1.076,-1.128,-0.252,2.780,0.406,0.118,1.528,2.205,1.663,1.420,1.654,-1.094,-5.416,4.192,-0.115,1.495,2.000,0.375,1.223,100.358,99.543,98.575,98.246,98.449,99.363,100.658,101.138,100.787,100.414,100.020,99.298,98.951,98.842,99.515,99.828,99.477,98.551,99.992,99.999,99.970,99.975,99.975,99.996,99.967,99.999,99.976,99.998,99.982,99.973,99.944,99.950,99.949,100.241,99.539,98.800,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,4.417,2.167,2.083,3.000,3.083,3.500,3.500,3.500,3.500,3.500,3.000,3.000,3.000,4.250,4.500,4.500,4.500,4.500,4.500,5.438,2.927,1.745,0.946,1.473,1.260,1.612,-0.158,0.625,2.109,2.605,2.928,1.667,0.568,0.266,-0.533,-0.496,0.504,-0.045,-1.309,-1.384,-1.105,-1.458,-1.617,-1.101,-1.037,-0.883,-0.729,-0.981,-0.611,-1.895,-1.674,-0.762,-0.333,1.745,2.145,0.784,0.739,0.679,0.682,0.634,0.611,0.609,0.492,0.427,0.409,0.341,0.310,0.248,0.247,0.341,0.382,0.253,0.238,0.272,0.183,0.167,0.241,0.233,0.214,0.034,0.009,0.063,0.115,0.048,-0.012,0.018,-0.185,-0.160,-0.144,-0.133,-0.106,1.000,1962,Asia
UK,52.00,52.000,52.000,52.000,50.000,45.000,40.000,35.000,35.000,35.000,35.000,35.000,33.000,33.000,33.000,33.000,33.000,33.000,31.000,31.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,28.000,28.000,28.000,26.000,24.000,23.000,21.000,20.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,50.000,50.000,50.000,45.000,45.000,45.000,8.000,8.000,8.000,8.000,8.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,17.500,17.500,17.500,17.500,17.500,17.500,17.500,17.500,17.500,17.500,17.500,17.500,17.500,17.500,15.000,17.500,20.000,20.000,20.000,20.000,20.000,3.590,3.770,4.800,4.500,4.180,3.790,4.160,6.280,4.400,3.660,3.470,3.480,2.270,3.270,2.220,2.310,2.100,2.260,2.150,2.060,1.560,1.700,1.890,1.430,1.310,1.380,1.840,1.890,-2.028,-0.771,2.010,4.222,2.276,4.196,3.141,5.301,5.758,2.569,0.739,-1.088,0.371,2.526,3.895,2.455,2.535,4.293,3.341,3.214,3.453,2.841,2.500,3.339,2.348,3.149,2.548,2.546,-0.346,-4.247,1.711,1.645,1.447,2.046,2.948,2.349,104.222,103.851,102.952,101.744,102.420,102.671,105.006,106.667,107.661,107.333,106.761,105.411,104.103,104.103,103.280,102.463,101.653,100.849,100.735,100.609,100.298,100.163,99.748,99.907,105.833,106.282,104.983,103.200,105.087,104.367,104.748,104.682,106.526,107.342,107.558,101.909,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,5.500,5.000,5.000,5.000,5.000,5.000,5.000,5.000,4.750,4.667,5.000,5.000,5.000,4.917,4.500,4.500,4.500,4.500,4.292,4.000,4.000,4.000,4.000,4.000,4.333,4.500,4.542,5.000,19.700,11.551,7.403,5.123,5.023,5.463,4.345,5.533,6.107,7.945,7.880,6.403,3.352,2.696,1.346,10.877,4.082,0.715,1.079,0.788,2.116,0.817,2.184,2.404,2.468,2.552,2.932,2.543,2.844,1.620,1.532,1.919,1.563,1.866,1.711,0.435,0.120,0.035,-0.036,0.034,0.158,0.227,0.232,0.213,0.222,0.260,0.299,0.309,0.270,0.240,0.255,0.265,0.255,0.258,0.291,0.333,0.357,0.385,0.423,0.466,0.569,0.687,0.735,0.779,0.787,0.756,0.784,0.782,0.695,0.670,0.753,0.795,1.000,1960,Europe
USA,46.00,46.000,46.000,46.000,46.000,46.000,46.000,40.000,34.000,34.000,34.000,34.000,34.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,70.000,69.130,50.000,50.000,50.000,50.000,50.000,38.500,28.000,28.000,28.000,31.000,31.000,39.600,39.600,39.600,39.600,39.600,39.600,39.600,39.600,39.100,38.600,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,39.600,39.600,39.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.910,3.910,3.920,3.950,3.950,3.750,3.750,2.940,2.860,2.600,3.090,2.310,2.100,2.110,2.160,1.960,1.790,1.750,1.700,1.540,1.570,1.710,1.660,1.680,1.680,1.670,1.690,1.690,-0.257,2.538,-1.803,4.584,7.237,4.170,3.463,3.460,4.177,3.673,1.886,-0.108,3.522,2.753,4.029,2.684,3.773,4.447,4.481,4.753,4.127,0.998,1.742,2.861,3.799,3.513,2.855,1.876,-0.137,-2.537,2.564,1.551,2.250,1.842,2.452,2.881,98.722,98.445,100.311,98.879,97.744,98.075,99.724,100.974,101.308,101.643,105.806,105.108,104.760,103.678,102.890,103.877,103.335,102.992,102.411,101.717,100.730,101.326,99.879,101.114,101.250,101.961,102.201,103.093,103.235,102.212,100.333,99.390,99.165,99.455,99.673,100.300,5.763,5.675,5.587,5.501,5.417,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,4.917,4.000,4.000,4.000,4.000,4.083,3.917,4.000,4.833,5.000,4.000,4.000,4.000,4.000,4.000,4.000,4.000,3.708,3.583,4.500,9.033,9.462,6.178,3.917,3.608,3.162,2.014,2.472,3.527,3.920,3.743,3.382,2.279,2.369,2.135,2.097,1.831,1.724,1.126,1.444,2.235,2.193,1.582,1.857,2.692,3.115,3.026,2.686,1.945,0.762,1.165,2.089,1.918,1.755,1.892,1.069,0.960,0.981,0.953,0.914,0.866,0.886,0.924,0.894,0.908,0.944,1.130,1.336,1.387,1.319,1.226,1.191,1.163,1.204,1.166,1.148,1.113,0.990,0.928,0.859,0.925,0.922,0.964,0.951,0.946,0.877,0.829,0.726,0.734,0.693,0.734,0.737,1.000,1950,America
China,55.20,55.200,55.200,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,40.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,30.000,33.000,33.000,33.000,33.000,33.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,25.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,45.000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,25.000,17.000,17.000,#N/A,#N/A,#N/A,#N/A,32.170,30.290,27.930,19.760,19.760,15.820,15.500,14.460,14.670,14.110,7.720,6.480,5.960,4.870,4.250,5.070,4.470,3.940,4.650,5.990,4.740,4.740,4.740,4.520,7.807,5.172,8.934,10.835,15.139,13.443,8.940,11.689,11.235,4.186,3.907,9.294,14.216,13.868,13.052,10.949,9.928,9.231,7.838,7.667,8.492,8.340,9.131,10.036,10.111,11.396,12.719,14.231,9.654,9.400,10.636,9.551,7.860,7.769,7.300,6.905,111.330,113.044,112.851,113.021,113.876,118.963,123.533,127.909,129.366,129.087,127.428,123.576,120.310,116.698,113.359,110.553,107.354,105.256,105.619,103.296,105.646,110.276,114.662,118.948,121.654,124.422,105.474,107.894,109.654,109.362,107.457,105.907,105.234,103.876,99.203,99.333,3.829,3.871,3.914,3.957,4.000,4.000,3.167,3.167,4.000,4.000,4.000,4.000,4.500,4.500,4.000,4.000,2.000,2.000,2.000,2.000,1.083,1.000,1.000,1.917,2.000,2.000,1.875,2.125,2.500,2.500,2.000,2.000,2.000,2.000,2.000,2.000,3.778,2.300,-0.065,1.097,4.992,10.197,4.679,5.053,12.096,8.624,5.725,6.684,8.198,15.202,20.601,13.671,6.501,1.622,-0.893,-1.268,2.061,2.043,0.605,2.605,6.954,3.903,3.928,7.749,7.792,-0.211,6.881,8.076,2.335,2.161,0.791,0.063,1.254,1.281,1.473,1.445,1.312,1.362,1.487,1.604,1.610,1.533,1.467,1.364,1.226,1.150,1.130,1.087,1.048,1.023,0.960,0.866,0.788,0.726,0.670,0.623,0.594,0.588,0.558,0.522,0.512,0.497,0.483,0.479,0.487,0.494,0.506,0.508,0.400,2001,Asia
RussianFederation,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,35.000,30.000,32.000,32.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,35.000,24.000,24.000,24.000,24.000,24.000,24.000,24.000,20.000,20.000,20.000,20.000,20.000,20.000,20.000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,90.000,50.000,40.000,30.000,30.000,30.000,35.000,35.000,35.000,35.000,35.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.000,18.000,18.000,18.000,18.000,18.000,18.000,18.000,18.000,18.000,18.000,#N/A,#N/A,#N/A,#N/A,6.250,6.250,9.210,9.210,9.640,11.280,11.280,10.780,10.780,10.780,10.800,10.800,10.480,10.480,7.260,7.260,8.590,8.120,5.200,7.240,6.840,6.210,5.370,3.080,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.000,-5.047,-14.531,-8.669,-12.570,-4.144,-3.755,1.400,-5.300,6.400,10.000,5.100,4.700,7.300,7.200,6.400,8.200,8.500,5.200,-7.800,4.500,4.300,3.700,1.800,0.700,-2.308,105.855,103.056,102.523,101.812,102.224,103.714,104.925,107.567,108.519,107.919,107.925,110.292,110.400,109.440,107.128,107.811,108.416,106.267,103.709,102.926,102.787,106.093,113.966,121.086,124.242,95.271,95.049,95.707,97.538,99.229,101.816,100.928,101.194,100.266,98.653,100.682,3.920,3.920,3.920,3.920,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.917,3.167,3.000,3.000,2.333,2.000,2.000,1.333,1.000,1.000,1.000,1.250,1.958,2.000,2.000,2.000,2.000,2.000,2.000,2.000,1.667,1.500,1.500,1.500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.903,128.630,1490.418,887.841,307.298,144.007,46.036,15.059,18.539,72.387,37.698,16.480,15.662,13.657,20.255,19.279,15.120,13.841,18.014,1.971,14.191,24.809,9.039,5.394,7.350,7.588,0.710,0.668,0.628,0.598,0.757,0.777,0.718,0.697,0.648,0.587,0.386,0.224,0.044,-0.114,-0.124,0.027,-0.145,-0.165,-0.166,-0.309,-0.421,-0.424,-0.460,-0.454,-0.403,-0.381,-0.327,-0.171,-0.044,0.030,0.045,0.078,0.168,0.213,0.218,0.193,0.086,2012,Eurasia
